model_name,parse_status,first_error_line,first_error_type,error_location_category,error_types_found,first_error_message
MCDieHarder,PASSED,0,NoError,none,,
ClientCentric,FAILED,2,Parse Error: Unexpected Token,early,Parse Error: Unexpected Token,"***
Was expecting ""Identifier""
Encountered ""<"" at line 2, column 9 and token ""EXTENDS"""
HDiskSynod,FAILED,2,Lexical Error: Space After Question,early,Lexical Error: Space After Question,"er:6.7b/generated/HDiskSynod.tla
Lexical error at line 2, column 179.  Encountered: "" "" (32), after : ""?"""
Alternate,FAILED,13,Parse Error: Bad Module Body,mid,Parse Error: Bad Module Body,"ng ""==== or more Module body""
Encountered ""**"" at line 13, column 1 and token ""------------------------------------------"""
Hanoi,FAILED,3,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 3, column 13 and token ""D"""
Relation,FAILED,20,Parse Error: Bad Module Body,mid,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered "":"" at line 20, column 27 and token ""S"""
MCEWD687a,FAILED,2,Lexical Error: Space After Question,early,Lexical Error: Space After Question,"der:6.7b/generated/MCEWD687a.tla
Lexical error at line 2, column 262.  Encountered: "" "" (32), after : ""?"""
EWD998ChanID_export,FAILED,18,Lexical Error: Other,mid,Lexical Error: Other,"enerated/EWD998ChanID_export.tla
Lexical error at line 18, column 19.  Encountered: ""\u2208"" (8712), after : """""
EWD687a_anim,FAILED,5,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 5, column 7 and token ""L"""
TwoPhase,FAILED,3,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 3, column 14 and token ""RM"""
MCConsensus,FAILED,18,Parse Error: Bad Module Body,mid,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 18, column 17 and token ""Value"""
Majority,FAILED,3,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""["" at line 3, column 14 and token ""seq"""
VoucherTransfer,FAILED,4,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 4, column 7 and token ""MSG"""
EnvironmentController,FAILED,4,Lexical Error: Space After Question,early,Lexical Error: Space After Question,"erated/EnvironmentController.tla
Lexical error at line 4, column 97.  Encountered: "" "" (32), after : ""?"""
MultiPaxos_MC,FAILED,7,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"more Module body""
Encountered ""SPECIFICATION"" at line 7, column 1 and token ""MaxBallot"""
VoucherCancel,FAILED,4,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""["" at line 4, column 23 and token ""vState"""
Consensus,FAILED,3,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 3, column 17 and token ""Value"""
MultiPaxos,FAILED,2,Lexical Error: Space After Question,early,Lexical Error: Space After Question,"er:6.7b/generated/MultiPaxos.tla
Lexical error at line 2, column 217.  Encountered: "" "" (32), after : ""?"""
BinarySearch,FAILED,4,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 4, column 11 and token ""MaxLen"""
SimpleRegular,FAILED,4,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""["" at line 4, column 12 and token ""x"""
BufferedRandomAccessFile,FAILED,2,Parse Error: Unexpected Token,early,Parse Error: Unexpected Token,"ntered ""------------------------------ MODULE"" at line 2, column 1 and token ""BufferedRandomAccessFile"""
KVsnap,FAILED,49,Lexical Error: Semicolon,mid,Lexical Error: Semicolon,"-coder:6.7b/generated/KVsnap.tla
Lexical error at line 49, column 29.  Encountered: "";"" (59), after : """""
MajorityProof,FAILED,1,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""TYPE"" at line 1, column 45 and token ""-----------------"""
YoYoNoPruning,FAILED,6,Parse Error: Unexpected Token,early,Parse Error: Unexpected Token,"""Expression or Instance""
Encountered ""EXTENDS"" at line 6, column 9 and token ""=="""
nbacc_ray97,FAILED,8,Parse Error: Other,early,Parse Error: Other,"cc_ray97.tla
***Parse Error***
Encountered ""]"" at line 8, column 5 and token ""p"""
TLAPS,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ng ""==== or more Module body""
Encountered ""It"" at line 2, column 1 and token ""----"""
