model_name,parse_status,first_error_line,first_error_type,error_location_category,error_types_found,first_error_message
MCDieHarder,FAILED,8,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 8, column 5 and token ""Goal"""
ClientCentric,FAILED,4,Parse Error: Unexpected Token,early,Parse Error: Unexpected Token,"efix op""
Encountered ""Beginning of definition"" at line 4, column 10 and token ""CONSTANT"""
HDiskSynod,FAILED,5,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""Last"" at line 5, column 1 and token ""----"""
Alternate,FAILED,5,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""*"" at line 5, column 1 and token ""-----------------------"""
Hanoi,FAILED,7,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""*"" at line 7, column 1 and token ""----"""
Relation,FAILED,16,Lexical Error: Other,mid,Lexical Error: Other,"ma:latest/generated/Relation.tla
Lexical error at line 16, column 93.  Encountered: ""\n"" (10), after : ""?"""
MCEWD687a,FAILED,12,Parse Error: Bad Module Body,mid,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""PROCS"" at line 12, column 1 and token ""-------------------------"""
EWD998ChanID_export,FAILED,8,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""("" at line 8, column 1 and token ""----"""
EWD687a_anim,FAILED,5,Lexical Error: Semicolon,early,Lexical Error: Semicolon,"atest/generated/EWD687a_anim.tla
Lexical error at line 5, column 10.  Encountered: "";"" (59), after : """""
TwoPhase,FAILED,5,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""*"" at line 5, column 1 and token ""-----------------------"""
MCConsensus,FAILED,9,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 9, column 17 and token ""Value"""
Majority,FAILED,5,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"g ""==== or more Module body""
Encountered ""AND"" at line 5, column 1 and token ""----"""
VoucherTransfer,FAILED,9,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"=== or more Module body""
Encountered ""between"" at line 9, column 1 and token ""----"""
EnvironmentController,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""T"" at line 2, column 13 and token ""N"""
MultiPaxos_MC,FAILED,337,Lexical Error: Other,late,Lexical Error: Other,"test/generated/MultiPaxos_MC.tla
Lexical error at line 337, column 8.  Encountered: ""\n"" (10), after : ""\"""""
VoucherCancel,PASSED,0,NoError,none,,
Consensus,FAILED,2,Parse Error: Unexpected Token,early,Parse Error: Unexpected Token,"op""
Encountered ""----------------------------"" at line 2, column 41 and token ""CONSTANTS"""
MultiPaxos,FAILED,13,Lexical Error: Semicolon,mid,Lexical Error: Semicolon,":latest/generated/MultiPaxos.tla
Lexical error at line 13, column 16.  Encountered: "";"" (59), after : """""
BinarySearch,FAILED,15,Lexical Error: Semicolon,mid,Lexical Error: Semicolon,"atest/generated/BinarySearch.tla
Lexical error at line 15, column 38.  Encountered: "";"" (59), after : """""
SimpleRegular,FAILED,10,Lexical Error: Semicolon,mid,Lexical Error: Semicolon,"test/generated/SimpleRegular.tla
Lexical error at line 10, column 68.  Encountered: "";"" (59), after : """""
BufferedRandomAccessFile,FAILED,7,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""="" at line 7, column 18 and token ""Symbols"""
KVsnap,FAILED,8,Lexical Error: Semicolon,early,Lexical Error: Semicolon,"lama:latest/generated/KVsnap.tla
Lexical error at line 8, column 16.  Encountered: "";"" (59), after : """""
MajorityProof,FAILED,10,Parse Error: Bad Module Body,mid,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""n"" at line 10, column 15 and token ""s"""
YoYoNoPruning,FAILED,12,Lexical Error: Semicolon,mid,Lexical Error: Semicolon,"test/generated/YoYoNoPruning.tla
Lexical error at line 12, column 75.  Encountered: "";"" (59), after : """""
nbacc_ray97,FAILED,8,Lexical Error: Other,early,Lexical Error: Other,"latest/generated/nbacc_ray97.tla
Lexical error at line 8, column 71.  Encountered: ""\n"" (10), after : ""\""A case study of agreement problems in distributed"""
TLAPS,FAILED,2,Lexical Error: Backtick Character,early,Lexical Error: Backtick Character,"llama:latest/generated/TLAPS.tla
Lexical error at line 2, column 51.  Encountered: ""`"" (96), after : """""
